page,item,old_value,new_value,notes
"portuguese-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstand, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Algarve 4*/5* resort</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 1 Grandstand, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Tivoli Marina Vilamoura (Algarve 4*/5* resort)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Superior Marina View</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Drive-and-park guidance</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"portuguese-grand-prix-2027.html","package card: premium-portim-o","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand &mdash; over start/finish opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>5* resort</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand &mdash; over start/finish opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>W Algarve (5* resort)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Wonderful Sea View King</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"portuguese-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality above the pit complex (grandstand map &amp; product names to be confirmed on 2027 ticket release &mdash; new-era event)</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality above the pit complex, all-inclusive (grandstand map and product names confirmed on 2027 ticket release)</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Anantara Vilamoura</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Golf View / Premier Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"portuguese-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Vila Vita Parc; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Vila Vita Parc</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Ocean View / Private villa</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"british-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Stowe or Becketts Grandstand, 3-day, parking/rail plan</dd></div><div class=""pk-row""><dt>Stay</dt><dd>4* Northamptonshire hotel</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Stowe or Becketts Grandstand, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Whittlebury Hall &amp; Spa (4*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Executive Double</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Not included &mdash; UK event; rail or regional flights on request</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Park-and-ride or rail-and-shuttle plan</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"british-grand-prix-2027.html","package card: premium-silverstone","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Hamilton Straight (pit straight) Grandstand &mdash; opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>country-house hotel</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Hamilton Straight (pit straight) Grandstand &mdash; opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Whittlebury Hall &amp; Spa (4*) or a country-house hotel</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Not included &mdash; UK event; rail or regional flights on request</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Chauffeured transfers with drop passes</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"british-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Fusion Lounge &mdash; Silverstone's own premium hospitality on the inside of the circuit: all-inclusive dining</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>bar and grandstand seating; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Fusion Lounge &mdash; Silverstone's own premium hospitality on the inside of the circuit: all-inclusive dining, bar and grandstand seating</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Fawsley Hall</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Room / Manor Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Not included &mdash; UK event; rail or regional flights on request</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"british-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Le Manoir aux Quat'Saisons or Estelle Manor base; chauffeured throughout; helicopter arrival option</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Le Manoir aux Quat&rsquo;Saisons, A Belmond Hotel or Estelle Manor</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Not included &mdash; UK event; rail or regional flights on request</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Chauffeured throughout; helicopter arrival option</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"austrian-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Steiermark Grandstand (Turn 3 hill complex), 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Graz 4* hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Steiermark Grandstand (Turn 3 hill complex), 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Hotel Wiesler Graz or Falkensteiner / G&rsquo;Schl&ouml;ssl Murtal (4*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights London&ndash;Vienna, or one-stop to Graz</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Coach shuttle from Graz (~1h)</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"austrian-grand-prix-2027.html","package card: premium-spielberg","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Start-Ziel (start/finish) Grandstand &mdash; covered, opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Graz boutique 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Start-Ziel (start/finish) Grandstand &mdash; covered, opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Kai 36, Graz (boutique 5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Design Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights London&ndash;Vienna, or one-stop to Graz</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers from Graz</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"austrian-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Red Bull Ring hospitality suites on the pit building</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers from Graz</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Red Bull Ring hospitality suites on the pit building, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Kai 36, Graz (boutique 5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Design Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights London&ndash;Vienna, or one-stop to Graz</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers from Graz</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"austrian-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Stay</dt><dd>Official Team Hospitality with your preferred team; Hotel Steirerschlössl, Zeltweg (Red Bull's own manor hotel, minutes from the circuit &mdash; the insider address); full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Hotel Steirerschl&ouml;ssl, Zeltweg (Red Bull's own manor hotel, minutes from the circuit)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Manor Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights London&ndash;Vienna, or one-stop to Graz</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"belgian-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Silver Grandstands at Eau Rouge/Raidillon, 3-day, Eurostar-or-fly plan</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Spa-town 4* hotel</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Silver Grandstands at Eau Rouge/Raidillon, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Hotel de la Source (Spa-town 4*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Comfort Double</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Eurostar London&ndash;Brussels, or return flights to Brussels</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Park-and-walk race-day plan</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"belgian-grand-prix-2027.html","package card: premium-spa","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Gold 1 Grandstand &mdash; start/finish at La Source, opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>château hotel</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Gold 1 Grandstand &mdash; start/finish at La Source, opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Van der Valk Hotel Spa or Ch&acirc;teau des Thermes, Chaudfontaine</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Eurostar London&ndash;Brussels, or return flights to Brussels</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers with parking passes</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"belgian-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality on the new pit complex</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Circuit hospitality on the new pit complex, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Manoir de L&eacute;bioles</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Room / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Eurostar London&ndash;Brussels, or return flights to Brussels</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers with parking passes</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"belgian-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Manoir de Lébioles; chauffeured throughout</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Manoir de L&eacute;bioles</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Room / Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Eurostar London&ndash;Brussels, or return flights to Brussels</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Chauffeured throughout</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"hungarian-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Gold 1 Grandstand at Turn 1, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Budapest 5* hotel</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Gold 1 Grandstand at Turn 1, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Kimpton BEM Budapest (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Suburban rail to Mogyor&oacute;d and shuttle, or organised coach</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"hungarian-grand-prix-2027.html","package card: premium-budapest","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Super Gold Grandstand &mdash; main straight opposite the rebuilt pits, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>luxury 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Super Gold Grandstand &mdash; main straight opposite the rebuilt pits, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Matild Palace, a Luxury Collection Hotel or Anantara New York Palace (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"hungarian-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Hungaroring hospitality suites in the new pit building</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Hungaroring hospitality suites in the new pit building, all-inclusive</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Anantara New York Palace (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Room / Premier Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"hungarian-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Four Seasons Gresham Palace; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Four Seasons Gresham Palace</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Chain Bridge View / Gresham Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>3 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"turkish-grand-prix-2027.html","package card: grandstand-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 8 Grandstand &mdash; the legend corner, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Istanbul 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Turn 8 Grandstand &mdash; the legend corner, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Fairmont Quasar Istanbul (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe King</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Race-day coaches from Taksim/Kadıköy</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"turkish-grand-prix-2027.html","package card: premium-istanbul","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand &mdash; covered, opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Stay</dt><dd>Bosphorus 5*</dd></div><div class=""pk-row""><dt>Travel</dt><dd>flights</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Main Grandstand &mdash; covered, opposite the pits, 3-day</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Peninsula Istanbul (Bosphorus 5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Room / Bosphorus View Room</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"turkish-grand-prix-2027.html","package card: hospitality-experience","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Istanbul Park hospitality suites over the pit straight (product names to be confirmed on 2027 release)</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>all-inclusive; private transfers</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Istanbul Park hospitality suites over the pit straight, all-inclusive (2027 product names confirmed on release)</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>The Peninsula Istanbul or Four Seasons Sultanahmet (5*)</dd></div><div class=""pk-row""><dt>Room</dt><dd>As listed on your selected hotel</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"turkish-grand-prix-2027.html","package card: luxury-race-weekend","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team; Çırağan Palace Kempinski; full private programme</dd></div></dl>","<dl class=""pk-list""><div class=""pk-row""><dt>Access</dt><dd>Official Team Hospitality with your preferred team</dd></div><div class=""pk-row""><dt>Hotel</dt><dd>Çırağan Palace Kempinski</dd></div><div class=""pk-row""><dt>Room</dt><dd>Deluxe Bosphorus Room / Palace Wing Suite</dd></div><div class=""pk-row""><dt>Nights</dt><dd>4 nights</dd></div><div class=""pk-row""><dt>Board</dt><dd>Breakfast daily</dd></div><div class=""pk-row""><dt>Flights</dt><dd>Return economy flights included</dd></div><div class=""pk-row""><dt>Transfers</dt><dd>Full private transfers</dd></div></dl>","Package card fields standardised to access/hotel/room/nights/board/flights/transfers; values taken from this page (package card, inclusions block, hotel list)."
"formula-one.html","calendar count","<p class=""cal-count"" id=""calCount"">25 races</p>","<p class=""cal-count"" id=""calCount"">26 races</p>","Two confirmed 2027 rounds added (Portugal, Türkiye); 24 rows were present against a stated 25"
"formula-one.html","calendar lede","<p class=""lede"">Upcoming rounds are bookable now, and provisional 2027 rounds can be reserved on flexible terms. Prices shown are the starting package price per person, two adults sharing.</p>","<p class=""lede"">Upcoming rounds are bookable now, and the 2027 calendar was confirmed on 16 September 2026, so 2027 rounds can be reserved against published dates. Prices shown are the starting package price per person, two adults sharing.</p>","""provisional 2027 rounds"" wording removed"
"formula-one.html","favourites card","<p class=""fav-rd"">Round 12 &middot; England</p>","<p class=""fav-rd"">Round 10 &middot; England</p>","Silverstone is round 10 of the 2027 calendar"
"formula-one.html","favourites card","<p class=""fav-rd"">Round 14 &middot; Belgium</p>","<p class=""fav-rd"">Round 12 &middot; Belgium</p>","Spa is round 12 of the 2027 calendar"
